Wavelength (nm),Glass_n,Glass_k,ITO_n,ITO_k,ZnO_n,ZnO_k,PbSTBAI_n,PbSTBAI_k,PbSEDT_n,PbSEDT_k,Au_n,Au_k,Air_n,Air_k,,,,,,,,,,,,,,,,,,,,,,
300,1.52154,0,2.28589,0.15729,2.02567,0.68396,2.32046,1.39641,2.01491,1.20682,1.80079,1.92025,1,0,,,,,,,,,,,,,,,,,,,,,,
301,1.52141,0,2.28195,0.15059,2.02696,0.67778,2.32895,1.3926,2.02331,1.20461,1.80546,1.92015,1,0,,,,,,,,,,,,,,,,,,,,,,
302,1.52128,0,2.27787,0.1441,2.02826,0.67161,2.33743,1.38879,2.03171,1.2024,1.81013,1.92004,1,0,,,,,,,,,,,,,,,,,,,,,,
303,1.52116,0,2.27371,0.13788,2.02955,0.66543,2.34576,1.38486,2.04011,1.20018,1.81376,1.91982,1,0,,,,,,,,,,,,,,,,,,,,,,
304,1.52103,0,2.26952,0.1318,2.03085,0.65926,2.35408,1.38092,2.0485,1.19797,1.81671,1.91952,1,0,,,,,,,,,,,,,,,,,,,,,,
305,1.52091,0,2.26527,0.12602,2.03214,0.65308,2.36226,1.37686,2.0569,1.19576,1.81965,1.91922,1,0,,,,,,,,,,,,,,,,,,,,,,
306,1.52082,0,2.26097,0.12038,2.03343,0.6469,2.37043,1.3728,2.06499,1.19314,1.82259,1.91892,1,0,,,,,,,,,,,,,,,,,,,,,,
307,1.52073,0,2.25663,0.11488,2.03473,0.64072,2.37844,1.36863,2.07309,1.19052,1.82458,1.91823,1,0,,,,,,,,,,,,,,,,,,,,,,
308,1.52064,0,2.25221,0.1097,2.03602,0.63455,2.38646,1.36445,2.08118,1.1879,1.82641,1.91748,1,0,,,,,,,,,,,,,,,,,,,,,,
309,1.52055,0,2.24776,0.10463,2.03732,0.62837,2.39431,1.36017,2.08927,1.18528,1.82824,1.91672,1,0,,,,,,,,,,,,,,,,,,,,,,
310,1.52046,0,2.2433,0.09975,2.03861,0.62219,2.40217,1.35589,2.09736,1.18266,1.83007,1.91595,1,0,,,,,,,,,,,,,,,,,,,,,,
311,1.52037,0,2.23885,0.09511,2.0399,0.61601,2.40987,1.3515,2.10512,1.17967,1.83185,1.91478,1,0,,,,,,,,,,,,,,,,,,,,,,
312,1.52028,0,2.23441,0.09058,2.0412,0.60984,2.41756,1.34711,2.11289,1.17668,1.83363,1.9136,1,0,,,,,,,,,,,,,,,,,,,,,,
313,1.52019,0,2.2299,0.08631,2.04249,0.60366,2.4251,1.34262,2.12065,1.1737,1.83541,1.91243,1,0,,,,,,,,,,,,,,,,,,,,,,
314,1.5201,0,2.22539,0.08217,2.04379,0.59749,2.43264,1.33814,2.12842,1.17071,1.83708,1.91118,1,0,,,,,,,,,,,,,,,,,,,,,,
315,1.52001,0,2.22086,0.07815,2.04508,0.59131,2.44001,1.33356,2.13618,1.16772,1.83783,1.90934,1,0,,,,,,,,,,,,,,,,,,,,,,
316,1.51992,0,2.21642,0.07439,2.04637,0.58513,2.44739,1.32898,2.1436,1.1644,1.83857,1.90751,1,0,,,,,,,,,,,,,,,,,,,,,,
317,1.51983,0,2.21198,0.07073,2.04767,0.57895,2.4546,1.32431,2.15102,1.16107,1.83932,1.90567,1,0,,,,,,,,,,,,,,,,,,,,,,
318,1.51975,0,2.20754,0.06724,2.04896,0.57278,2.46182,1.31964,2.15843,1.15775,1.83987,1.90372,1,0,,,,,,,,,,,,,,,,,,,,,,
319,1.51967,0,2.20313,0.06391,2.05026,0.5666,2.46887,1.3149,2.16585,1.15443,1.83842,1.90067,1,0,,,,,,,,,,,,,,,,,,,,,,
320,1.5196,0,2.19873,0.06067,2.05155,0.56042,2.47593,1.31015,2.17327,1.15111,1.83696,1.89761,1,0,,,,,,,,,,,,,,,,,,,,,,
321,1.51952,0,2.19436,0.05764,2.05284,0.55424,2.48282,1.30533,2.18033,1.14749,1.83551,1.89456,1,0,,,,,,,,,,,,,,,,,,,,,,
322,1.51944,0,2.19001,0.05472,2.05414,0.54807,2.48972,1.3005,2.18739,1.14387,1.83406,1.8915,1,0,,,,,,,,,,,,,,,,,,,,,,
323,1.51936,0,2.1857,0.05191,2.05543,0.54189,2.49645,1.29561,2.19445,1.14026,1.83174,1.88835,1,0,,,,,,,,,,,,,,,,,,,,,,
324,1.51928,0,2.18148,0.04927,2.05673,0.53572,2.50318,1.29072,2.20151,1.13664,1.82938,1.88519,1,0,,,,,,,,,,,,,,,,,,,,,,
325,1.51921,0,2.17728,0.04671,2.05802,0.52954,2.50976,1.28576,2.20856,1.13302,1.82702,1.88204,1,0,,,,,,,,,,,,,,,,,,,,,,
326,1.51913,0,2.17309,0.04429,2.05931,0.52336,2.51633,1.2808,2.21525,1.12914,1.82466,1.87888,1,0,,,,,,,,,,,,,,,,,,,,,,
327,1.51905,0,2.16895,0.042,2.06061,0.51719,2.52274,1.27578,2.22194,1.12527,1.82201,1.87639,1,0,,,,,,,,,,,,,,,,,,,,,,
328,1.51897,0,2.16484,0.03978,2.0619,0.51101,2.52916,1.27076,2.22863,1.12139,1.81926,1.87414,1,0,,,,,,,,,,,,,,,,,,,,,,
329,1.5189,0,2.16081,0.0377,2.0632,0.50484,2.53542,1.26569,2.23533,1.11751,1.8165,1.8719,1,0,,,,,,,,,,,,,,,,,,,,,,
330,1.51883,0,2.15683,0.03571,2.06449,0.49866,2.54167,1.26061,2.24202,1.11364,1.81374,1.86966,1,0,,,,,,,,,,,,,,,,,,,,,,
331,1.51875,0,2.1529,0.03379,2.06578,0.49248,2.54777,1.25549,2.24833,1.10954,1.81084,1.86757,1,0,,,,,,,,,,,,,,,,,,,,,,
332,1.51868,0,2.14902,0.03202,2.06708,0.4863,2.55387,1.25037,2.25465,1.10544,1.80771,1.86572,1,0,,,,,,,,,,,,,,,,,,,,,,
333,1.51861,0,2.14517,0.0303,2.06837,0.48013,2.55981,1.2452,2.26097,1.10134,1.80458,1.86388,1,0,,,,,,,,,,,,,,,,,,,,,,
334,1.51854,0,2.14135,0.02868,2.06967,0.47395,2.56576,1.24003,2.26728,1.09725,1.80145,1.86203,1,0,,,,,,,,,,,,,,,,,,,,,,
335,1.51846,0,2.13762,0.02714,2.07096,0.46777,2.57155,1.23482,2.2736,1.09315,1.79831,1.86018,1,0,,,,,,,,,,,,,,,,,,,,,,
336,1.51839,0,2.13392,0.02566,2.07225,0.46159,2.57734,1.22961,2.27954,1.08886,1.79486,1.85838,1,0,,,,,,,,,,,,,,,,,,,,,,
337,1.51832,0,2.13029,0.02428,2.07355,0.45542,2.58297,1.22436,2.28548,1.08458,1.79138,1.85658,1,0,,,,,,,,,,,,,,,,,,,,,,
338,1.51825,0,2.1267,0.02296,2.07484,0.44924,2.58861,1.21911,2.29143,1.08029,1.78789,1.85479,1,0,,,,,,,,,,,,,,,,,,,,,,
339,1.51817,0,2.12314,0.0217,2.07614,0.44307,2.59409,1.21384,2.29737,1.07601,1.78441,1.85299,1,0,,,,,,,,,,,,,,,,,,,,,,
340,1.5181,0,2.11968,0.02053,2.07743,0.43689,2.59958,1.20856,2.30331,1.07172,1.78095,1.85137,1,0,,,,,,,,,,,,,,,,,,,,,,
341,1.51804,0,2.11625,0.0194,2.07872,0.43071,2.60491,1.20325,2.30888,1.06728,1.77755,1.85015,1,0,,,,,,,,,,,,,,,,,,,,,,
342,1.51798,0,2.11288,0.01834,2.08002,0.42453,2.61025,1.19795,2.31445,1.06284,1.77415,1.84893,1,0,,,,,,,,,,,,,,,,,,,,,,
343,1.51792,0,2.1096,0.01735,2.08131,0.41836,2.61543,1.19262,2.32002,1.0584,1.77076,1.84771,1,0,,,,,,,,,,,,,,,,,,,,,,
344,1.51786,0,2.10636,0.01639,2.08261,0.41218,2.62062,1.18729,2.32559,1.05396,1.76736,1.84649,1,0,,,,,,,,,,,,,,,,,,,,,,
345,1.5178,0,2.10315,0.01549,2.0839,0.406,2.62566,1.18194,2.33115,1.04953,1.76439,1.84591,1,0,,,,,,,,,,,,,,,,,,,,,,
346,1.51774,0,2.09999,0.01464,2.08557,0.40556,2.6307,1.17659,2.33636,1.04496,1.76171,1.84575,1,0,,,,,,,,,,,,,,,,,,,,,,
347,1.51768,0,2.09686,0.01383,2.08724,0.40512,2.6356,1.17122,2.34156,1.0404,1.75903,1.8456,1,0,,,,,,,,,,,,,,,,,,,,,,
348,1.51761,0,2.0938,0.01308,2.08892,0.40467,2.64049,1.16586,2.34676,1.03584,1.75635,1.84544,1,0,,,,,,,,,,,,,,,,,,,,,,
349,1.51755,0,2.09075,0.01236,2.09059,0.40423,2.64525,1.16048,2.35196,1.03128,1.75367,1.84529,1,0,,,,,,,,,,,,,,,,,,,,,,
350,1.51749,0,2.08773,0.01168,2.09226,0.40379,2.65,1.1551,2.35716,1.02672,1.75105,1.84566,1,0,,,,,,,,,,,,,,,,,,,,,,
351,1.51743,0,2.08483,0.01105,2.10034,0.41139,2.65462,1.14971,2.362,1.02207,1.74844,1.84621,1,0,,,,,,,,,,,,,,,,,,,,,,
352,1.51737,0,2.08197,0.01044,2.10842,0.41899,2.65923,1.14433,2.36684,1.01742,1.74584,1.84677,1,0,,,,,,,,,,,,,,,,,,,,,,
353,1.51731,0,2.07915,0.00988,2.11649,0.42659,2.66371,1.13893,2.37168,1.01276,1.74323,1.84732,1,0,,,,,,,,,,,,,,,,,,,,,,
354,1.51725,0,2.07638,0.00934,2.12457,0.43419,2.66819,1.13354,2.37653,1.00811,1.74063,1.84787,1,0,,,,,,,,,,,,,,,,,,,,,,
355,1.51719,0,2.07363,0.00883,2.13265,0.44179,2.67253,1.12815,2.38137,1.00346,1.73823,1.84865,1,0,,,,,,,,,,,,,,,,,,,,,,
356,1.51713,0,2.07092,0.00836,2.14232,0.44463,2.67687,1.12275,2.38586,0.99874,1.73589,1.8495,1,0,,,,,,,,,,,,,,,,,,,,,,
357,1.51707,0,2.06825,0.00791,2.152,0.44747,2.68108,1.11736,2.39035,0.99402,1.73356,1.85035,1,0,,,,,,,,,,,,,,,,,,,,,,
358,1.51701,0,2.06563,0.00748,2.16167,0.45032,2.68529,1.11196,2.39484,0.9893,1.73122,1.8512,1,0,,,,,,,,,,,,,,,,,,,,,,
359,1.51695,0,2.0631,0.00709,2.17135,0.45316,2.68937,1.10657,2.39933,0.98459,1.72889,1.85206,1,0,,,,,,,,,,,,,,,,,,,,,,
360,1.51688,0,2.0606,0.00671,2.18102,0.456,2.69345,1.10118,2.40382,0.97987,1.72659,1.85351,1,0,,,,,,,,,,,,,,,,,,,,,,
361,1.51682,0,2.05808,0.00636,2.19315,0.45605,2.6974,1.0958,2.40797,0.97511,1.72432,1.85533,1,0,,,,,,,,,,,,,,,,,,,,,,
362,1.51676,0,2.05561,0.00603,2.20528,0.45611,2.70134,1.09041,2.41213,0.97035,1.72205,1.85715,1,0,,,,,,,,,,,,,,,,,,,,,,
363,1.5167,0,2.05318,0.00572,2.21742,0.45616,2.70517,1.08504,2.41628,0.96559,1.71977,1.85898,1,0,,,,,,,,,,,,,,,,,,,,,,
364,1.51664,0,2.0508,0.00543,2.22955,0.45622,2.70899,1.07966,2.42043,0.96083,1.7175,1.8608,1,0,,,,,,,,,,,,,,,,,,,,,,
365,1.51658,0,2.04845,0.00515,2.24168,0.45627,2.71269,1.0743,2.42458,0.95608,1.71538,1.86331,1,0,,,,,,,,,,,,,,,,,,,,,,
366,1.51651,0,2.04612,0.00489,2.25575,0.45007,2.71639,1.06893,2.42841,0.9513,1.71354,1.86716,1,0,,,,,,,,,,,,,,,,,,,,,,
367,1.51645,0,2.04386,0.00465,2.26982,0.44387,2.71997,1.06358,2.43224,0.94652,1.71171,1.87102,1,0,,,,,,,,,,,,,,,,,,,,,,
368,1.51639,0,2.04162,0.00442,2.28388,0.43768,2.72355,1.05823,2.43606,0.94175,1.70987,1.87487,1,0,,,,,,,,,,,,,,,,,,,,,,
369,1.51633,0,2.03943,0.00421,2.29795,0.43148,2.72701,1.0529,2.43989,0.93697,1.70804,1.87872,1,0,,,,,,,,,,,,,,,,,,,,,,
370,1.51627,0,2.03728,0.00401,2.31202,0.42528,2.73047,1.04756,2.44372,0.93219,1.7062,1.88258,1,0,,,,,,,,,,,,,,,,,,,,,,
371,1.51621,0,2.03516,0.00382,2.3281,0.41224,2.73382,1.04225,2.44723,0.92742,1.70441,1.88666,1,0,,,,,,,,,,,,,,,,,,,,,,
372,1.51616,0,2.03302,0.00364,2.34417,0.39919,2.73716,1.03693,2.45075,0.92265,1.70263,1.89076,1,0,,,,,,,,,,,,,,,,,,,,,,
373,1.5161,0,2.03091,0.00348,2.36025,0.38615,2.74039,1.03163,2.45426,0.91787,1.70084,1.89487,1,0,,,,,,,,,,,,,,,,,,,,,,
374,1.51604,0,2.02885,0.00332,2.37632,0.3731,2.74362,1.02634,2.45777,0.9131,1.69905,1.89898,1,0,,,,,,,,,,,,,,,,,,,,,,
375,1.51598,0,2.02684,0.00318,2.3924,0.36006,2.74674,1.02106,2.46129,0.90832,1.69727,1.90308,1,0,,,,,,,,,,,,,,,,,,,,,,
376,1.51593,0,2.02484,0.00304,2.39264,0.34025,2.74986,1.01579,2.46451,0.90357,1.69545,1.90683,1,0,,,,,,,,,,,,,,,,,,,,,,
377,1.51587,0,2.02282,0.00291,2.39288,0.32044,2.75287,1.01054,2.46772,0.89882,1.69354,1.90968,1,0,,,,,,,,,,,,,,,,,,,,,,
378,1.51581,0,2.02086,0.00279,2.39313,0.30062,2.75588,1.00529,2.47094,0.89406,1.69164,1.91254,1,0,,,,,,,,,,,,,,,,,,,,,,
379,1.51576,0,2.01893,0.00268,2.39337,0.28081,2.75879,1.00007,2.47416,0.88931,1.68974,1.91539,1,0,,,,,,,,,,,,,,,,,,,,,,
380,1.5157,0,2.01705,0.00258,2.39361,0.261,2.76169,0.99484,2.47738,0.88455,1.68784,1.91825,1,0,,,,,,,,,,,,,,,,,,,,,,
381,1.51564,0,2.0152,0.00248,2.39095,0.24226,2.76449,0.98964,2.48031,0.87983,1.68593,1.9211,1,0,,,,,,,,,,,,,,,,,,,,,,
382,1.51559,0,2.01339,0.00239,2.38829,0.22352,2.76729,0.98445,2.48325,0.87512,1.68406,1.92366,1,0,,,,,,,,,,,,,,,,,,,,,,
383,1.51553,0,2.01157,0.00231,2.38563,0.20477,2.76999,0.97928,2.48619,0.8704,1.68221,1.92592,1,0,,,,,,,,,,,,,,,,,,,,,,
384,1.51547,0,2.00975,0.00223,2.38297,0.18603,2.77269,0.97411,2.48912,0.86568,1.68037,1.92819,1,0,,,,,,,,,,,,,,,,,,,,,,
385,1.51542,0,2.00794,0.00215,2.38031,0.16729,2.77529,0.96897,2.49206,0.86096,1.67852,1.93045,1,0,,,,,,,,,,,,,,,,,,,,,,
386,1.51536,0,2.00616,0.00208,2.37577,0.15837,2.77789,0.96383,2.49473,0.85629,1.67668,1.93272,1,0,,,,,,,,,,,,,,,,,,,,,,
387,1.51532,0,2.00442,0.00202,2.37123,0.14945,2.78039,0.95872,2.4974,0.85162,1.67483,1.93498,1,0,,,,,,,,,,,,,,,,,,,,,,
388,1.51527,0,2.00273,0.00196,2.3667,0.14054,2.78289,0.95362,2.50007,0.84695,1.67328,1.93705,1,0,,,,,,,,,,,,,,,,,,,,,,
389,1.51522,0,2.00104,1.91E-03,2.36216,0.13162,2.7853,0.94854,2.50274,0.84228,1.67198,1.93896,1,0,,,,,,,,,,,,,,,,,,,,,,
390,1.51517,0,1.99934,1.85E-03,2.35762,0.1227,2.78771,0.94346,2.5054,0.83761,1.67068,1.94087,1,0,,,,,,,,,,,,,,,,,,,,,,
391,1.51512,0,1.99765,1.81E-03,2.35128,0.11539,2.79003,0.93842,2.50782,0.833,1.66938,1.94278,1,0,,,,,,,,,,,,,,,,,,,,,,
392,1.51507,0,1.99598,1.76E-03,2.34494,0.10807,2.79234,0.93338,2.51024,0.82839,1.66808,1.94469,1,0,,,,,,,,,,,,,,,,,,,,,,
393,1.51502,0,1.99435,1.72E-03,2.33861,0.10076,2.79457,0.92837,2.51266,0.82378,1.66678,1.9466,1,0,,,,,,,,,,,,,,,,,,,,,,
394,1.51497,0,1.99272,1.69E-03,2.33227,0.09344,2.79679,0.92337,2.51508,0.81917,1.6655,1.94827,1,0,,,,,,,,,,,,,,,,,,,,,,
395,1.51492,0,1.99109,1.65E-03,2.32593,0.08613,2.79893,0.9184,2.5175,0.81456,1.66424,1.94957,1,0,,,,,,,,,,,,,,,,,,,,,,
396,1.51487,0,1.98953,1.62E-03,2.32037,0.08126,2.80107,0.91342,2.51968,0.81002,1.66298,1.95087,1,0,,,,,,,,,,,,,,,,,,,,,,
397,1.51482,0,1.98797,1.59E-03,2.31481,0.07639,2.80312,0.90849,2.52186,0.80548,1.66172,1.95217,1,0,,,,,,,,,,,,,,,,,,,,,,
398,1.51477,0,1.9864,1.56E-03,2.30924,0.07151,2.80518,0.90355,2.52404,0.80094,1.66046,1.95347,1,0,,,,,,,,,,,,,,,,,,,,,,
399,1.51472,0,1.9849,1.54E-03,2.30368,0.06664,2.80715,0.89865,2.52623,0.7964,1.6592,1.95477,1,0,,,,,,,,,,,,,,,,,,,,,,
400,1.51467,0,1.98339,1.51E-03,2.29812,0.06177,2.80912,0.89376,2.52841,0.79186,1.65792,1.95603,1,0,,,,,,,,,,,,,,,,,,,,,,
401,1.51462,0,1.98188,1.49E-03,2.29296,0.05794,2.811,0.8889,2.53037,0.7874,1.65624,1.95654,1,0,,,,,,,,,,,,,,,,,,,,,,
402,1.51457,0,1.98038,1.48E-03,2.28779,0.05412,2.81289,0.88403,2.53233,0.78293,1.65456,1.95706,1,0,,,,,,,,,,,,,,,,,,,,,,
403,1.51452,0,1.97889,1.46E-03,2.28263,0.05029,2.8147,0.87921,2.53429,0.77847,1.65289,1.95757,1,0,,,,,,,,,,,,,,,,,,,,,,
404,1.51448,0,1.97745,1.44E-03,2.27746,0.04647,2.81651,0.87439,2.53625,0.77401,1.65121,1.95809,1,0,,,,,,,,,,,,,,,,,,,,,,
405,1.51443,0,1.97598,1.43E-03,2.2723,0.04264,2.81825,0.86961,2.53821,0.76955,1.64953,1.9586,1,0,,,,,,,,,,,,,,,,,,,,,,
406,1.51438,0,1.97448,1.42E-03,2.26788,0.04077,2.81998,0.86482,2.53997,0.76517,1.64786,1.95912,1,0,,,,,,,,,,,,,,,,,,,,,,
407,1.51433,0,1.97308,1.41E-03,2.26346,0.0389,2.82164,0.86008,2.54172,0.76079,1.6462,1.95928,1,0,,,,,,,,,,,,,,,,,,,,,,
408,1.51428,0,1.97168,1.40E-03,2.25904,0.03702,2.8233,0.85534,2.54348,0.75641,1.64458,1.95908,1,0,,,,,,,,,,,,,,,,,,,,,,
409,1.51423,0,1.97025,1.39E-03,2.25462,0.03515,2.82488,0.85063,2.54523,0.75204,1.64295,1.95887,1,0,,,,,,,,,,,,,,,,,,,,,,
410,1.51419,0,1.96885,1.38E-03,2.2502,3.33E-02,2.82647,0.84593,2.54699,0.74766,1.64133,1.95867,1,0,,,,,,,,,,,,,,,,,,,,,,
411,1.51414,0,1.96748,1.38E-03,2.24578,3.15E-02,2.82798,0.84127,2.54855,0.74337,1.6397,1.95846,1,0,,,,,,,,,,,,,,,,,,,,,,
412,1.51409,0,1.96609,1.37E-03,2.24136,2.97E-02,2.82949,0.83661,2.55011,0.73908,1.63808,1.95826,1,0,,,,,,,,,,,,,,,,,,,,,,
413,1.51404,0,1.96471,1.37E-03,2.23695,2.79E-02,2.83094,0.83198,2.55167,0.7348,1.63645,1.95806,1,0,,,,,,,,,,,,,,,,,,,,,,
414,1.51399,0,1.96334,1.36E-03,2.23253,2.61E-02,2.83239,0.82736,2.55323,0.73051,1.63518,1.95732,1,0,,,,,,,,,,,,,,,,,,,,,,
415,1.51394,0,1.96202,1.36E-03,2.22811,2.44E-02,2.83376,0.82278,2.5548,0.72622,1.63404,1.95638,1,0,,,,,,,,,,,,,,,,,,,,,,
