Wavelength (nm),Global tilt  mW*cm-2*nm-1 (1sun AM 1.5)
280.0,4.7309E-24
280.5,1.2307E-22
281.0,5.6895E-22
281.5,1.5662E-20
282.0,1.1946E-19
282.5,4.5436E-19
283.0,1.8452E-18
283.5,3.5360E-18
284.0,7.2670E-17
284.5,2.4856E-16
285.0,8.0142E-16
285.5,4.2613E-15
286.0,1.3684E-14
286.5,8.3823E-14
287.0,2.7367E-13
287.5,1.0903E-12
288.0,6.2337E-12
288.5,1.7162E-11
289.0,5.6265E-11
289.5,2.0749E-10
290.0,6.0168E-10
290.5,1.3783E-09
291.0,3.5052E-09
291.5,1.0913E-08
292.0,2.6830E-08
292.5,4.2685E-08
293.0,8.6466E-08
293.5,2.2707E-07
294.0,4.1744E-07
294.5,6.5911E-07
295.0,1.2290E-06
295.5,2.7826E-06
296.0,4.7904E-06
296.5,7.1345E-06
297.0,9.6800E-06
297.5,1.8608E-05
298.0,2.8988E-05
298.5,3.5789E-05
299.0,4.9211E-05
299.5,8.6068E-05
300.0,1.0205E-04
300.5,1.2450E-04
301.0,1.9300E-04
301.5,2.6914E-04
302.0,2.9209E-04
302.5,4.2840E-04
303.0,7.0945E-04
303.5,8.9795E-04
304.0,9.4701E-04
304.5,1.1953E-03
305.0,1.6463E-03
305.5,1.8719E-03
306.0,1.8577E-03
306.5,2.1108E-03
307.0,2.7849E-03
307.5,3.5635E-03
308.0,3.7837E-03
308.5,4.1430E-03
309.0,4.0534E-03
309.5,4.3306E-03
310.0,5.0939E-03
310.5,6.5540E-03
311.0,8.2922E-03
311.5,8.4080E-03
312.0,9.3376E-03
312.5,9.8984E-03
313.0,1.0733E-02
313.5,1.0757E-02
314.0,1.1969E-02
314.5,1.3060E-02
315.0,1.3625E-02
315.5,1.1838E-02
316.0,1.2348E-02
316.5,1.5036E-02
317.0,1.7158E-02
317.5,1.8245E-02
318.0,1.7594E-02
318.5,1.8591E-02
319.0,2.0470E-02
319.5,1.9589E-02
320.0,2.0527E-02
320.5,2.4525E-02
321.0,2.5024E-02
321.5,2.3843E-02
322.0,2.2203E-02
322.5,2.1709E-02
323.0,2.1226E-02
323.5,2.4861E-02
324.0,2.7537E-02
324.5,2.8321E-02
325.0,2.7894E-02
325.5,3.2436E-02
326.0,3.8120E-02
326.5,4.0722E-02
327.0,3.9806E-02
327.5,3.8465E-02
328.0,3.5116E-02
328.5,3.7164E-02
329.0,4.2235E-02
329.5,4.6878E-02
330.0,4.7139E-02
330.5,4.2800E-02
331.0,4.0262E-02
331.5,4.1806E-02
332.0,4.3623E-02
332.5,4.3919E-02
333.0,4.2944E-02
333.5,4.0724E-02
334.0,4.1497E-02
334.5,4.4509E-02
335.0,4.6388E-02
335.5,4.5313E-02
336.0,4.1519E-02
336.5,3.8214E-02
337.0,3.7380E-02
337.5,4.0051E-02
338.0,4.3411E-02
338.5,4.5527E-02
339.0,4.6355E-02
339.5,4.7446E-02
340.0,5.0180E-02
340.5,5.0071E-02
341.0,4.7139E-02
341.5,4.6935E-02
342.0,4.8934E-02
342.5,5.0767E-02
343.0,5.1489E-02
343.5,4.8609E-02
344.0,4.1843E-02
344.5,4.0307E-02
345.0,4.5898E-02
345.5,4.8932E-02
346.0,4.7778E-02
346.5,4.8657E-02
347.0,4.9404E-02
347.5,4.7674E-02
348.0,4.7511E-02
348.5,4.8336E-02
349.0,4.6564E-02
349.5,4.7805E-02
350.0,5.2798E-02
350.5,5.6741E-02
351.0,5.5172E-02
351.5,5.3022E-02
352.0,5.1791E-02
352.5,4.8962E-02
353.0,5.2040E-02
353.5,5.7228E-02
354.0,6.0498E-02
354.5,6.1156E-02
355.0,6.1140E-02
355.5,5.9028E-02
356.0,5.5387E-02
356.5,5.1942E-02
357.0,4.5673E-02
357.5,4.6215E-02
358.0,4.3006E-02
358.5,3.9926E-02
359.0,4.6953E-02
359.5,5.6549E-02
360.0,5.9817E-02
360.5,5.6531E-02
361.0,5.2024E-02
361.5,5.0956E-02
362.0,5.3420E-02
362.5,5.8510E-02
363.0,6.0191E-02
363.5,5.8541E-02
364.0,6.0628E-02
364.5,6.0058E-02
365.0,6.2359E-02
365.5,6.8628E-02
366.0,7.3532E-02
366.5,7.3658E-02
367.0,7.2285E-02
367.5,7.0914E-02
368.0,6.6759E-02
368.5,6.6310E-02
369.0,6.9315E-02
369.5,7.4469E-02
370.0,7.5507E-02
370.5,6.8261E-02
371.0,6.9338E-02
371.5,7.2051E-02
372.0,6.7444E-02
372.5,6.4253E-02
373.0,6.1886E-02
373.5,5.5786E-02
374.0,5.5640E-02
374.5,5.5227E-02
375.0,5.8930E-02
375.5,6.5162E-02
376.0,6.7480E-02
376.5,6.6390E-02
377.0,7.1225E-02
377.5,7.9455E-02
378.0,8.5595E-02
378.5,8.3418E-02
379.0,7.4389E-02
379.5,6.6683E-02
380.0,7.0077E-02
380.5,7.5075E-02
381.0,7.6383E-02
381.5,6.8837E-02
382.0,5.8678E-02
382.5,5.0762E-02
383.0,4.5499E-02
383.5,4.4049E-02
384.0,5.0968E-02
